class_id,class_name,mAP,AP_IoU,J,F,J&R
0,bed,0.6787314076434743,0.949111020954501,0.8835476207590409,0.8867924528301887,0.8851700367946148
1,chair,0.21035727518466613,0.3630644988872763,0.3952458602607958,0.44776119402985076,0.42150352714532324
2,coffee_maker,0.48638553788633454,0.7449566336366179,0.7710327933349871,0.6607142857142857,0.7158735395246364
3,door,0.7246699816886668,0.8614087327785093,0.5187553692017681,0.8636363636363636,0.6911958664190658
4,escalator,0.36034975797363755,0.6520374317726695,0.7126798081030071,0.5433366311318285,0.6280082196174178
5,fan,0.8175927255925485,0.9239243879463155,0.8554231729649142,0.9072363826746134,0.8813297778197637
6,fire_extinguisher,0.5921770568724797,0.8998705584368185,0.9239029572311223,0.8598726114649682,0.8918877843480453
7,laptop,0.5751308711065609,0.7626685795946768,0.7897222499250912,0.6885245901639344,0.7391234200445128
8,microwave,0.46951827250595296,0.7217072312366308,0.7043528538050158,0.6712328767123288,0.6877928652586722
9,refrigerator,0.7084820706800785,0.8518273257098349,0.7274445735003223,0.87,0.7987222867501611
10,rice_cooker,0.7335479400105107,0.9889583333333333,0.9395821888317916,0.9354838709677419,0.9375330298997667
11,sofa,0.7037386267718362,0.8832350479764627,0.8903374143865984,0.7917981072555205,0.8410677608210595
12,stair,0.44187366527932925,0.6675370068709947,0.8343492959416476,0.5632183908045977,0.6987838433731226
13,table,0.42187868827876784,0.6674668845013946,0.662738344263496,0.6176019337860875,0.6401701390247918
14,toilet,0.3438753230715531,0.5928191298228329,0.6535747111307979,0.5560538116591929,0.6048142613949954
15,tv,0.5557236036231628,0.7231864893351845,0.7764690678245705,0.5850722859994764,0.6807706769120234
16,washing_machine,0.7170951649753009,0.8742884673248006,0.8153997237953371,0.8494945762925984,0.8324471500439677
17,water_dispenser,0.7818168535491515,0.9330260010044743,0.8830727826940448,0.8985507246376812,0.890811753665863
18,wheelchair,0.4329514235299302,0.8383054414194261,0.8086483304421507,0.7547169811320755,0.781682655787113
-1,OVERALL,0.5660998024328391,0.7841789053969871,0.7655936378103421,0.7342683195207018,0.7499309786655219
