 class_id        class_name      mAP   AP_IoU        J        F      J&R
        0               bed 0.678731 0.949111 0.883548 0.886792 0.885170
        1             chair 0.210357 0.363064 0.395246 0.447761 0.421504
        2      coffee_maker 0.486386 0.744957 0.771033 0.660714 0.715874
        3              door 0.724670 0.861409 0.518755 0.863636 0.691196
        4         escalator 0.360350 0.652037 0.712680 0.543337 0.628008
        5               fan 0.817593 0.923924 0.855423 0.907236 0.881330
        6 fire_extinguisher 0.592177 0.899871 0.923903 0.859873 0.891888
        7            laptop 0.575131 0.762669 0.789722 0.688525 0.739123
        8         microwave 0.469518 0.721707 0.704353 0.671233 0.687793
        9      refrigerator 0.708482 0.851827 0.727445 0.870000 0.798722
       10       rice_cooker 0.733548 0.988958 0.939582 0.935484 0.937533
       11              sofa 0.703739 0.883235 0.890337 0.791798 0.841068
       12             stair 0.441874 0.667537 0.834349 0.563218 0.698784
       13             table 0.421879 0.667467 0.662738 0.617602 0.640170
       14            toilet 0.343875 0.592819 0.653575 0.556054 0.604814
       15                tv 0.555724 0.723186 0.776469 0.585072 0.680771
       16   washing_machine 0.717095 0.874288 0.815400 0.849495 0.832447
       17   water_dispenser 0.781817 0.933026 0.883073 0.898551 0.890812
       18        wheelchair 0.432951 0.838305 0.808648 0.754717 0.781683
       -1           OVERALL 0.566100 0.784179 0.765594 0.734268 0.749931
