epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,369.37,2.09383,4.15755,2.58078,0.36814,0.11992,0.0578,0.02778,2.24174,4.86854,2.8719,0.000199932,0.000199932,0.0802067
2,733.697,1.68471,3.44334,2.14264,0.31655,0.22926,0.15398,0.08145,1.84817,3.34231,2.4459,0.000392013,0.000392013,0.0603988
3,1096.7,1.56281,3.13342,2.01683,0.35364,0.32582,0.27243,0.14876,1.78191,2.96082,2.31501,0.000576175,0.000576175,0.040583
4,1458.67,1.46775,2.9077,1.94375,0.41146,0.32724,0.31952,0.17911,1.64719,2.58302,2.21353,0.000752416,0.000752416,0.0207592
5,1820.32,1.39049,2.70159,1.86897,0.43675,0.39096,0.38907,0.2372,1.5056,2.31001,2.07794,0.000920737,0.000920737,0.000927545
6,2181.75,1.34651,2.54221,1.82214,0.50004,0.4386,0.4576,0.28217,1.46346,2.14614,2.02958,0.000901,0.000901,0.000901
7,2543.27,1.29024,2.39856,1.77432,0.4764,0.48311,0.49517,0.31119,1.37944,1.98213,1.92641,0.0008812,0.0008812,0.0008812
8,2905.61,1.26676,2.30299,1.75106,0.56093,0.50985,0.54221,0.3408,1.38152,1.8631,1.92809,0.0008614,0.0008614,0.0008614
9,3267.34,1.2317,2.19456,1.72548,0.573,0.55025,0.58527,0.37569,1.35649,1.79838,1.88736,0.0008416,0.0008416,0.0008416
10,3629.42,1.21107,2.11533,1.70302,0.58663,0.56093,0.58759,0.38674,1.31739,1.71403,1.84839,0.0008218,0.0008218,0.0008218
11,3990.96,1.18774,2.06302,1.68265,0.63049,0.59975,0.63388,0.425,1.25047,1.65596,1.7917,0.000802,0.000802,0.000802
12,4352.31,1.16684,1.99181,1.66901,0.63532,0.5827,0.63044,0.4244,1.24671,1.62297,1.77194,0.0007822,0.0007822,0.0007822
13,4714.03,1.1438,1.94216,1.64916,0.65141,0.60415,0.65251,0.44094,1.22548,1.52903,1.75708,0.0007624,0.0007624,0.0007624
14,5075.29,1.12693,1.88879,1.63559,0.65886,0.62551,0.67847,0.46286,1.21293,1.47882,1.73984,0.0007426,0.0007426,0.0007426
15,5436.28,1.11754,1.85387,1.62434,0.67419,0.63421,0.68596,0.47326,1.17104,1.45917,1.70388,0.0007228,0.0007228,0.0007228
16,5797.31,1.1017,1.80466,1.60845,0.67195,0.65778,0.69976,0.4836,1.17862,1.41551,1.71065,0.000703,0.000703,0.000703
17,6158.48,1.08832,1.77303,1.59729,0.69164,0.61954,0.69779,0.48193,1.15555,1.40145,1.68316,0.0006832,0.0006832,0.0006832
18,6519.59,1.07448,1.73845,1.58501,0.72587,0.63781,0.7152,0.49903,1.13825,1.33995,1.66736,0.0006634,0.0006634,0.0006634
19,6880.78,1.07148,1.70647,1.58046,0.7081,0.66976,0.7259,0.5105,1.13123,1.32892,1.65611,0.0006436,0.0006436,0.0006436
20,7241.77,1.05932,1.66145,1.56752,0.69374,0.68368,0.72674,0.51558,1.11592,1.31308,1.635,0.0006238,0.0006238,0.0006238
21,7603.04,1.04454,1.62081,1.55871,0.70959,0.67477,0.73694,0.51424,1.13194,1.2839,1.65979,0.000604,0.000604,0.000604
22,7963.58,1.03688,1.60423,1.54854,0.70956,0.69082,0.7388,0.52629,1.11034,1.25965,1.63421,0.0005842,0.0005842,0.0005842
23,8325.02,1.02838,1.57881,1.53981,0.71639,0.68659,0.74954,0.53326,1.09305,1.23718,1.6204,0.0005644,0.0005644,0.0005644
24,8686.15,1.01897,1.56025,1.53211,0.72752,0.68737,0.7492,0.5327,1.09065,1.22184,1.61228,0.0005446,0.0005446,0.0005446
25,9047.05,1.00722,1.52036,1.52222,0.74694,0.67833,0.75137,0.53369,1.092,1.21195,1.61099,0.0005248,0.0005248,0.0005248
26,9407.95,0.99995,1.50203,1.51854,0.75422,0.69335,0.76533,0.54878,1.07888,1.17674,1.60026,0.000505,0.000505,0.000505
27,9768.75,0.99455,1.48841,1.51238,0.74416,0.69704,0.75921,0.5447,1.0763,1.16886,1.59279,0.0004852,0.0004852,0.0004852
28,10129.7,0.9791,1.46021,1.50122,0.72004,0.72112,0.76489,0.54824,1.07394,1.15757,1.5959,0.0004654,0.0004654,0.0004654
29,10490.9,0.97652,1.44019,1.49552,0.74313,0.70226,0.76729,0.55087,1.06411,1.15833,1.58444,0.0004456,0.0004456,0.0004456
30,10852.4,0.9705,1.42882,1.4953,0.77234,0.68783,0.7721,0.55414,1.06497,1.15146,1.58568,0.0004258,0.0004258,0.0004258
31,11213.9,0.95494,1.3952,1.4788,0.75273,0.71224,0.77334,0.55372,1.05791,1.14353,1.57769,0.000406,0.000406,0.000406
32,11575,0.95443,1.37653,1.47735,0.73747,0.73548,0.77865,0.55717,1.05034,1.12645,1.56568,0.0003862,0.0003862,0.0003862
33,11936.2,0.94573,1.36536,1.47021,0.73508,0.73691,0.77867,0.56221,1.04686,1.12346,1.56077,0.0003664,0.0003664,0.0003664
34,12297.5,0.93962,1.34991,1.46759,0.76744,0.71412,0.77983,0.56034,1.04762,1.12315,1.56174,0.0003466,0.0003466,0.0003466
35,12659.5,0.93125,1.33428,1.45906,0.73862,0.7296,0.77625,0.55764,1.04732,1.12036,1.56055,0.0003268,0.0003268,0.0003268
36,13021.5,0.9313,1.31676,1.45702,0.73575,0.73606,0.77762,0.5584,1.04891,1.11499,1.56073,0.000307,0.000307,0.000307
37,13383,0.91235,1.29317,1.44573,0.75774,0.72248,0.78066,0.56079,1.04692,1.10236,1.56182,0.0002872,0.0002872,0.0002872
38,13744.6,0.91796,1.28734,1.44755,0.76462,0.73409,0.78246,0.56033,1.0491,1.09611,1.56417,0.0002674,0.0002674,0.0002674
39,14106.5,0.90748,1.26587,1.44023,0.76684,0.73663,0.78397,0.56011,1.04837,1.09473,1.56252,0.0002476,0.0002476,0.0002476
40,14468.5,0.90599,1.26128,1.43541,0.75964,0.74329,0.78645,0.56234,1.04614,1.08985,1.55923,0.0002278,0.0002278,0.0002278
41,14759,0.84642,0.83633,1.47019,0.76866,0.73456,0.78702,0.56546,1.03623,1.07762,1.55288,0.000208,0.000208,0.000208
42,15049.3,0.79193,0.75684,1.41933,0.77275,0.72467,0.78647,0.56597,1.03084,1.06831,1.55161,0.0001882,0.0001882,0.0001882
43,15339.1,0.76413,0.71418,1.38916,0.7637,0.73737,0.78524,0.56567,1.03043,1.06236,1.55359,0.0001684,0.0001684,0.0001684
44,15628.4,0.73552,0.6832,1.36358,0.76584,0.73792,0.78419,0.56527,1.03166,1.05929,1.55723,0.0001486,0.0001486,0.0001486
45,15917.9,0.71374,0.65184,1.34206,0.7653,0.73681,0.78384,0.56489,1.03281,1.05325,1.56038,0.0001288,0.0001288,0.0001288
46,16206.9,0.69346,0.63086,1.32296,0.75745,0.7481,0.78431,0.56605,1.03367,1.04997,1.56389,0.000109,0.000109,0.000109
47,16496.1,0.68028,0.60947,1.311,0.78451,0.71778,0.7836,0.56591,1.03519,1.04817,1.56741,8.92e-05,8.92e-05,8.92e-05
48,16785.1,0.66273,0.59659,1.29503,0.77425,0.7309,0.78334,0.56466,1.03767,1.04716,1.57149,6.94e-05,6.94e-05,6.94e-05
49,17074.8,0.64935,0.58257,1.28344,0.78166,0.72782,0.78267,0.56383,1.03861,1.04817,1.57385,4.96e-05,4.96e-05,4.96e-05
50,17364.7,0.63886,0.57042,1.27243,0.78391,0.72771,0.78203,0.56239,1.04017,1.04861,1.57681,2.98e-05,2.98e-05,2.98e-05
